,_id1,_id2,title_cleaned,references_cleaned,capacity,colors1_for_cap,colors2_for_row,common_colors,num_common_colors
11,['666baeb99793e149fe7394e2'],6892cdeba79a1867093a032a,samsung galaxy a51,samsung galaxy a51,128GB,[],"['Trắng', 'Xanh', 'Bạc', 'Đen']",[],0
12,['666baeb99793e149fe7394eb'],6892ce1ba79a1867093a0544,realme 6,realme 6,128GB,[],"['Trắng', 'Xanh']",[],0
13,['666baeb99793e149fe7394ea'],6892cdf0a79a1867093a035b,realme 6 pro,realme 6 pro,128GB,[],"['Đỏ', 'Xanh']",[],0
14,['666baeb79793e149fe739439'],6892ce05a79a1867093a0439,nokia c32,nokia c32,128GB,"['Đen', 'Xanh Lá']","['Xám', 'Xanh']",[],0
15,['666baeb89793e149fe7394a4'],6892ce05a79a1867093a0464,nokia g10,nokia g10,64GB,[],['Xanh'],[],0
16,"['666baeb99793e149fe7394ee', '666baeb99793e149fe7394ef']",6892cdf0a79a1867093a034a,xiaomi redmi note 9 pro,xiaomi redmi note 9 pro,64GB,[],['Xanh'],[],0
17,"['666baeb99793e149fe7394ee', '666baeb99793e149fe7394ef']",6892cdf0a79a1867093a034a,xiaomi redmi note 9 pro,xiaomi redmi note 9 pro,128GB,[],['Xanh'],[],0
18,['666baeb99793e149fe7394c3'],6892cdf4a79a1867093a0389,vsmart aris,vsmart aris,128GB,[],"['Xanh', 'Đen']",[],0
19,['666baeb59793e149fe7393f0'],6892ce01a79a1867093a0423,tecno spark 20c,tecno spark 20c,128GB,"['Trắng', 'Đen', 'Xanh Lá']","['Vàng', 'Trắng', 'Xanh', 'Đen']","['Trắng', 'Đen']",2
20,"['666baeb49793e149fe7393c7', '666baeb79793e149fe73944f']",6892ce05a79a1867093a0446,samsung galaxy a34 5g,samsung galaxy a34 5g,128GB,[],"['Xanh', 'Đen', 'Bạc']",[],0
21,['666baeb79793e149fe739451'],6892cdc6a79a1867093a02f3,oppo find n2 flip,oppo find n2 flip,256GB,"['Đen', 'Tím Đam Mê']",['Đen'],['Đen'],1
22,"['666baeb79793e149fe73946b', '666baeb79793e149fe73946a']",6892ce05a79a1867093a0444,nokia c31,nokia c31,32GB,[],"['Xanh dương', 'Xanh lá']",[],0
23,"['666baeb69793e149fe73940b', '666baeb69793e149fe73940c', '666baeb69793e149fe73940d', '666baeb69793e149fe739410']",6892cd95a79a1867093a02c2,iphone 15 pro,iphone 15 pro,1TB,"['Titan Xanh', 'Titan Đen', 'Titan Tự Nhiên', 'Titan Trắng']","['Titan Xanh', 'Titan Đen', 'Titan Trắng', 'Titan Tự nhiên']","['Titan Xanh', 'Titan Trắng', 'Titan Đen']",3
24,"['666baeb69793e149fe73940b', '666baeb69793e149fe73940c', '666baeb69793e149fe73940d', '666baeb69793e149fe739410']",6892cd95a79a1867093a02c2,iphone 15 pro,iphone 15 pro,512GB,"['Titan Xanh', 'Titan Tự Nhiên', 'Titan Trắng', 'Titan Đen']","['Titan Xanh', 'Titan Đen', 'Titan Trắng', 'Titan Tự nhiên']","['Titan Xanh', 'Titan Trắng', 'Titan Đen']",3
25,"['666baeb69793e149fe73940b', '666baeb69793e149fe73940c', '666baeb69793e149fe73940d', '666baeb69793e149fe739410']",6892cd95a79a1867093a02c2,iphone 15 pro,iphone 15 pro,256GB,"['Titan Tự Nhiên', 'Titan Trắng', 'Titan Xanh', 'Titan Đen']","['Titan Xanh', 'Titan Đen', 'Titan Trắng', 'Titan Tự nhiên']","['Titan Xanh', 'Titan Trắng', 'Titan Đen']",3
26,"['666baeb69793e149fe73940b', '666baeb69793e149fe73940c', '666baeb69793e149fe73940d', '666baeb69793e149fe739410']",6892cd95a79a1867093a02c2,iphone 15 pro,iphone 15 pro,128GB,"['Titan Xanh', 'Titan Tự Nhiên', 'Titan Trắng', 'Titan Đen']","['Titan Xanh', 'Titan Đen', 'Titan Trắng', 'Titan Tự nhiên']","['Titan Xanh', 'Titan Trắng', 'Titan Đen']",3
